name,tongzhaoQuota,tier,zone,code
北京市第二中学,166,KEY,5,101001
北京市第五中学,170,KEY,2,101002
北京市第十一中学,147,KEY,6,101003
北京市第五十中学,168,KEY,7,101004
北京市第五十五中学,146,KEY,5,101005
北京市第一零九中学,91,KEY,8,101006
北京市第一六六中学,150,KEY,3,101007
北京市第一七一中学,172,KEY,1,101008
北京市广渠门中学,154,KEY,6,101009
北京汇文中学,185,KEY,8,101010
北京市东直门中学,175,KEY,4,101011
北京景山学校,132,KEY,3,101012
北京市第二十二中学,136,NORMAL,2,201003
北京市龙潭中学,105,NORMAL,7,201017
北京市第一中学,230,NORMAL,1,
北京市第二十一中学,103,NORMAL,1,
北京市第二十四中学,215,NORMAL,5,
北京市第二十五中学,285,NORMAL,3,
北京市第二十七中学,203,NORMAL,3,
北京市第五十中学分校,110,NORMAL,7,
北京市第五十四中学,176,NORMAL,1,
北京市第六十五中学,227,NORMAL,3,
北京市第九十六中学,240,NORMAL,6,
北京汇文实验中学,200,NORMAL,8,
北京市第一四二中学,183,NORMAL,1,
北京市第一六五中学,235,NORMAL,2,
北京市翔宇中学,170,NORMAL,8,
北京市第十一中学实验学校,35,NORMAL,6,
京杜学校,36,NORMAL,8,
