junior_school,high_school,quota
北京市第一中学,北京市第二中学,1
北京市第五中学分校,北京市第二中学,1
北京市第一中学,北京市第五中学,1
北京市第五中学分校,北京市第五中学,2
北京市第一中学,北京市第十一中学,0
北京市第五中学分校,北京市第十一中学,1
北京市第一中学,北京市第五十中学,0
北京市第五中学分校,北京市第五十中学,1
北京市第一中学,北京市第五十五中学,2
北京市第五中学分校,北京市第五十五中学,2
北京市第一中学,北京市第一零九中学,0
北京市第五中学分校,北京市第一零九中学,1
北京市第一中学,北京市第一六六中学,2
北京市第五中学分校,北京市第一六六中学,2
北京市第一中学,北京市第一七一中学,1
北京市第五中学分校,北京市第一七一中学,1
北京市第一中学,北京市广渠门中学,1
北京市第五中学分校,北京市广渠门中学,1
北京市第一中学,北京汇文中学,1
北京市第五中学分校,北京汇文中学,1
北京市第一中学,北京市东直门中学,0
北京市第五中学分校,北京市东直门中学,1
北京市第一中学,北京景山学校,1
北京市第五中学分校,北京景山学校,1
北京市第一中学,北京市第二十二中学,2
北京市第五中学分校,北京市第二十二中学,2
北京市第一中学,北京市龙潭中学,0
北京市第五中学分校,北京市龙潭中学,1
北京市第二中学分校,北京市第二中学,3
北京市第二中学分校,北京市第五中学,2
北京市第二中学分校,北京市第十一中学,7
北京市第二中学分校,北京市第五十中学,6
北京市第二中学分校,北京市第五十五中学,9
北京市第二中学分校,北京市第一零九中学,8
北京市第二中学分校,北京市第一六六中学,7
北京市第二中学分校,北京市第一七一中学,2
北京市第二中学分校,北京市广渠门中学,2
北京市第二中学分校,北京汇文中学,3
北京市第二中学分校,北京市东直门中学,2
北京市第二中学分校,北京景山学校,3
北京市第二中学分校,北京市第二十二中学,5
北京市第二中学分校,北京市龙潭中学,2
北京市第十一中学,北京市第二中学,1
北京市第十一中学,北京市第五中学,1
北京市第十一中学,北京市第十一中学,3
北京市第十一中学,北京市第五十中学,2
北京市第十一中学,北京市第五十五中学,1
北京市第十一中学,北京市第一零九中学,2
北京市第十一中学,北京市第一六六中学,1
北京市第十一中学,北京市第一七一中学,1
北京市第十一中学,北京市广渠门中学,2
北京市第十一中学,北京汇文中学,2
北京市第十一中学,北京市东直门中学,1
北京市第十一中学,北京景山学校,1
北京市第十一中学,北京市第二十二中学,1
北京市第十一中学,北京市龙潭中学,1
北京市第二十一中学,北京市第二中学,0
北京市第二十二中学,北京市第二中学,1
北京市第二十一中学,北京市第五中学,1
北京市第二十二中学,北京市第五中学,1
北京市第二十一中学,北京市第十一中学,0
北京市第二十二中学,北京市第十一中学,1
北京市第二十一中学,北京市第五十中学,0
北京市第二十二中学,北京市第五十中学,1
北京市第二十一中学,北京市第五十五中学,1
北京市第二十二中学,北京市第五十五中学,2
北京市第二十一中学,北京市第一零九中学,0
北京市第二十二中学,北京市第一零九中学,1
北京市第二十一中学,北京市第一六六中学,0
北京市第二十二中学,北京市第一六六中学,1
北京市第二十一中学,北京市第一七一中学,0
北京市第二十二中学,北京市第一七一中学,1
北京市第二十一中学,北京市广渠门中学,1
北京市第二十二中学,北京市广渠门中学,1
北京市第二十一中学,北京汇文中学,1
北京市第二十二中学,北京汇文中学,1
北京市第二十一中学,北京市东直门中学,0
北京市第二十二中学,北京市东直门中学,1
北京市第二十一中学,北京景山学校,0
北京市第二十二中学,北京景山学校,1
北京市第二十一中学,北京市第二十二中学,2
北京市第二十二中学,北京市第二十二中学,2
北京市第二十一中学,北京市龙潭中学,0
北京市第二十二中学,北京市龙潭中学,1
北京市第二十四中学,北京市第二中学,3
北京市第二十四中学,北京市第五中学,2
北京市第二十四中学,北京市第十一中学,12
北京市第二十四中学,北京市第五十中学,13
北京市第二十四中学,北京市第五十五中学,13
北京市第二十四中学,北京市第一零九中学,13
北京市第二十四中学,北京市第一六六中学,14
北京市第二十四中学,北京市第一七一中学,3
北京市第二十四中学,北京市广渠门中学,3
北京市第二十四中学,北京汇文中学,3
北京市第二十四中学,北京市东直门中学,7
北京市第二十四中学,北京景山学校,1
