简称,全称,统招计划数,备注,tier
二中,北京市第二中学,166,东城统招一,KEY
五中,北京市第五中学,170,,KEY
十一中,北京市第十一中学,147,,KEY
五十中,北京市第五十中学,168,,KEY
五十五中,北京市第五十五中学,146,,KEY
109中,北京市第一零九中学,91,,KEY
166中,北京市第一六六中学,150,生命科学班30/普通班120,KEY
171中,北京市第一七一中学,172,,KEY
广渠门中学,北京市广渠门中学,154,,KEY
汇文中学,北京汇文中学,185,,KEY
东直门中学,北京市东直门中学,175,叶企孙班30/普通班145,KEY
景山学校,北京景山学校,132,普通班56/通州校区76,KEY
一中,北京市第一中学,230,,NORMAL
二十一中,北京市第二十一中学,103,,NORMAL
二十二中,北京市第二十二中学,136,,NORMAL
二十四中,北京市第二十四中学,215,,NORMAL
二十五中,北京市第二十五中学,285,,NORMAL
二十七中,北京市第二十七中学,203,,NORMAL
五十分,北京市第五十中学分校,110,,NORMAL
五十四中,北京市第五十四中学,176,,NORMAL
六十五中,北京市第六十五中学,227,,NORMAL
九十六中,北京市第九十六中学,240,,NORMAL
汇文实验,北京市汇文实验中学,200,,NORMAL
142中,北京市第一四二中学,183,普通班157/中药班25,NORMAL
165中,北京市第一六五中学,235,,NORMAL
龙潭中学,北京市龙潭中学,105,,NORMAL
翔宇中学,北京市翔宇中学,170,,NORMAL
十一实验学校,北京市第十一中学实验学校,35,,NORMAL
京杜学校,京杜学校,36,,NORMAL
